Time         Duration (sec)    Hours
10:30:00 PM      12,600        3:30:00
2:00:00 AM        6,300        1:45:00
3:45:00 AM        3,150        0:52:30
4:37:30 AM        1,575        0:26:15
5:03:45 AM          788        0:13:07
5:16:52 AM          480        0:08:00
5:24:52 AM          480        0:08:00
5:32:52 AM          480        0:08:00
5:40:52 AM          480        0:08:00
5:48:52 AM          480        0:08:00
5:56:52 AM          480        0:08:00
6:04:52 AM          480        0:08:00
6:12:52 AM          480        0:08:00
6:20:52 AM          480        0:08:00
6:28:52 AM          480        0:08:00
6:36:52 AM          480        0:08:00
6:44:52 AM          480        0:08:00
6:52:52 AM          480        0:08:00
7:00:52 AM          480        0:08:00
7:08:52 AM          480        0:08:00
7:16:52 AM          480        0:08:00
7:24:52 AM          480        0:08:00
